分店名称,租户名称,购买积分,赠送积分,积分余额,使用说明,操作人,操作时间
,小豆科技,+0.1,+0.01,0.11,充值积分,董名晏,2018-01-25 05:18:38
,凤凰,+10.0,+1.0,11.0,充值积分,董名晏,2018-01-25 05:23:48
,小豆科技,+0.1,+0.01,0.22,充值积分,董名晏,2018-01-25 05:27:32
三元桥店,小豆科技,+0.0,+0.0,0.22,预订会议室,,2018-01-25 05:45:43
三元桥店,小豆科技,+0.0,+0.0,0.22,预订会议室,3,2018-01-25 05:46:28
三元桥店,小豆科技,+0.0,+0.0,0.22,预订会议室,,2018-01-25 05:47:13
三元桥店,小豆科技,+0.0,+0.0,0.22,预订会议室,,2018-01-25 20:16:00
,小豆科技,+1.0,+0.1,1.32,充值积分,董名晏,2018-01-25 21:12:36
,凤凰,+0.01,+0.0,11.01,充值积分,董名晏,2018-01-25 23:07:06
,小豆科技,+0.01,+0.0,1.33,充值积分,董名晏,2018-01-26 18:12:52
三元桥店,小豆科技,+0.0,+0.0,1.33,预订会议室,,2018-01-30 04:45:54
三元桥店,凤凰,+0.0,+0.0,11.01,预订会议室,,2018-01-30 22:39:02
三元桥店,凤凰,+0.0,+0.0,11.01,预订会议室,,2018-01-30 22:39:28
,小豆科技,+1.0,+0.1,2.43,充值积分,董名晏,2018-01-31 02:12:48
,小豆科技,+0.0,-0.2,2.23,"",董名晏,2018-01-31 02:13:10
,小豆科技,+0.0,+0.0,2.22,"",董名晏,2018-01-31 02:21:10
,蓝天,+0.0,+0.0,0.0,充值积分,,2018-02-01 00:34:08
三元桥店,小豆科技,+0.0,+0.0,2.22,预订会议室,,2018-02-01 02:07:10
,小豆科技,+0.0,+0.1,2.32,合同KBKJ-000000008赠送100积分,,2018-02-01 09:01:18
,奥森科技,+0.0,+0.01,0.01,合同k-888赠送10积分,,2018-02-01 21:56:24
,奥森科技,+0.0,+0.1,0.11,合同k-888赠送100积分,,2018-02-01 21:57:24
,奥森科技,+0.0,+0.3,0.41,合同k-888赠送300积分,,2018-02-01 22:07:07
,小豆科技,-0.9,+0.0,1.42,购买商品,,2018-02-02 03:59:09
,小豆科技,-0.9,+0.0,0.52,购买商品,,2018-02-02 03:59:09
,蓝天,+0.01,+0.0,0.01,充值积分,董名晏,2018-02-02 20:39:19
,小豆科技,+0.0,+0.0,0.52,扣除赠送1积分,董名晏,2018-02-02 22:26:18
,小豆科技,+0.0,+0.0,0.52,扣除赠送1积分,董名晏,2018-02-03 00:45:33
,小豆科技,-0.3,+0.0,0.22,购买商品,,2018-02-03 19:40:52
,小豆科技,+0.02,+0.0,0.24,充值,董名晏,2018-02-04 02:28:02
三元桥店,小豆科技,+0.0,+0.0,0.24,预订会议室,3,2018-02-05 23:35:49
三元桥店,小豆科技,+0.0,+0.0,0.24,预订会议室,3,2018-02-05 23:37:02
三元桥店,小豆科技,+0.0,+0.0,0.24,预订会议室,3,2018-02-05 23:44:16
三元桥店,小豆科技,+0.0,+0.0,0.24,预订会议室,,2018-02-06 21:57:43
三元桥店,小豆科技,+0.0,+0.0,0.24,预订会议室,,2018-02-07 03:14:30
,凤凰,-0.3,+0.0,10.71,购买商品,,2018-02-07 05:11:15
,光明,+0.0,+0.01,0.01,合同WQ-001周期赠送,,2018-02-07 05:31:00
三元桥店,小豆科技,+0.0,+0.0,0.24,预订会议室,,2018-02-07 08:29:29
,光明,+0.0,+0.01,0.0,合同WQ-001周期结束或终止,,2018-02-07 20:19:41
,测试,+0.1,+0.01,0.11,充值,董名晏,2018-02-08 03:49:10
,奥森科技,+0.0,+0.41,0.0,合同k-888周期结束或终止,,2018-03-01 09:01:48
,小豆科技,+0.0,+0.1,0.34,合同KBKJ-000000008周期赠送,,2018-03-01 09:01:48
,奥森科技,+0.0,+0.3,0.3,合同k-888周期赠送,,2018-03-01 09:01:48
,王二,+0.0,+0.89,0.89,合同66-20180305162525周期赠送,,2018-03-06 00:25:48
,王二,+0.0,+0.89,0.0,合同66-20180305162525周期结束或终止,,2018-03-06 00:26:36
三元桥店,蓝天,+0.0,+0.0,0.01,预订会议室,,2018-03-09 00:12:49
,蓝天,+5.0,+0.5,5.51,充值,董名晏,2018-03-10 03:53:47
亮马桥店,蓝天,-5.0,+0.0,0.51,租金(合同
